Sequence Number,Channel1,Channel2,Channel3
44850,33712,33493,34216
44900,31812,32398,34932
44950,38976,32924,33728
45000,28680,33448,33484
45050,35540,31925,32232
45100,43956,32960,32148
45150,40710,32408,33456
45200,36332,33228,34880
45250,29448,32488,32356
45300,25928,33196,33220
45350,32380,32775,29042
45400,33557,32884,34040
45450,29284,33213,33397
45500,32660,32326,32710
45550,32720,32869,32424
45600,32698,32270,32808
45650,32824,33028,32737
45700,31412,32794,32612
45750,33120,32208,32708
45800,32728,32820,32860
45850,32942,32696,33208
45900,32884,33236,32124
45950,32916,32753,32158
46000,32776,32263,31352
46050,32264,32292,33388
46100,32940,33000,32636
46150,32644,32628,33356
46200,29560,32815,33340
46250,32964,32724,32110
46300,33464,32764,32940
46350,35376,33021,31812
46400,32732,32965,32570
46450,32202,32828,32794
46500,31074,32694,32982
46550,32868,32636,33120
46600,30244,32677,32924
46650,29936,32270,33892
46700,32681,32757,32772
46750,28252,32618,32532
46800,31712,32742,31942
46850,32401,33112,33079
46900,32460,32673,32904
46950,32908,32727,32968
47000,29992,32510,33056
47050,32784,32680,32524
47100,33048,32765,32917
47150,32917,32724,32796
47200,37244,32684,31552
47250,33477,33138,32604
47300,34672,32822,32680
47350,31984,32637,32904
47400,34225,32588,32534
47450,32904,33380,32953
47500,33008,32792,32052
47550,31096,32698,32229
47600,35053,32960,32928
47650,34296,32438,32562
47700,31676,32836,33245
47750,32516,32676,32858
47800,30500,32596,32488
47850,32760,32761,32556
47900,32724,32934,32917
47950,32216,32294,32804
48000,32602,32940,32194
48050,34448,32764,32456
48100,31676,32503,33056
48150,32680,32456,33006
48200,34432,32660,33124
48250,31693,32900,31804
48300,32248,33008,33250
48350,32624,32581,32161
48400,32220,32996,32628
48450,32196,33151,32477
48500,32564,32816,32684
48550,33988,32431,33040
48600,32748,33700,33092
48650,34042,32704,32156
48700,32156,33156,32098
48750,33928,32232,32909
48800,32644,33188,32292
48850,32042,32670,33680
48900,31404,32725,33365
48950,33804,34428,31792
49000,32844,32876,33400
49050,32012,33842,32924
49100,33396,32334,33308
49150,33162,32551,33172
49200,30840,32360,33392
49250,33148,33116,33520
49300,34416,33602,32533
49350,32644,32775,33262
49400,32804,33285,33044
49450,35372,32792,33277
49500,26460,32564,34368
49550,25754,32852,32677
49600,33736,32748,34662
49650,26541,34110,34548
49700,35740,33508,36608
49750,34496,31765,34720
49800,24480,33240,29153
