Sequence Number,Channel1,Channel2,Channel3
27500,32792,32834,32934
27550,32820,32657,32871
27600,32816,32606,32700
27650,32768,32647,32733
27700,32848,32824,32956
27750,32828,32600,32876
27800,32868,32654,32676
27850,32728,32548,32752
27900,32804,32668,32716
27950,32808,32886,32880
28000,32840,32687,32697
28050,32876,32834,32704
28100,32764,32740,32775
28150,32796,32924,32713
28200,32888,32812,32901
28250,32860,32533,32760
28300,32784,32657,32732
28350,32780,32700,32856
28400,32760,32913,32881
28450,32776,32712,32655
28500,32801,32540,32742
28550,32848,32638,33077
28600,32860,32661,32868
28650,32792,32836,32784
28700,32860,32868,32692
28750,32792,32869,32868
28800,32796,32976,32932
28850,32804,32868,32751
28900,32824,32800,32933
28950,32869,32750,32921
29000,32756,32856,32728
29050,32832,32548,32732
29100,32784,32831,32718
29150,32836,32698,32740
29200,32816,32824,32748
29250,32810,32852,32932
29300,32764,32903,32919
29350,32840,32872,32686
29400,32808,32580,32932
29450,32712,32862,32748
29500,32744,32908,32650
29550,32877,32608,32949
29600,32776,32743,32888
29650,32786,32590,32668
29700,32804,32598,32828
29750,32776,32843,32666
29800,32764,32869,32916
29850,32824,32578,32876
29900,32996,32844,32724
29950,32700,32775,32736
30000,32858,32887,32680
30050,33156,32564,32854
30100,33460,32800,32724
30150,32816,32824,32689
30200,32981,32597,32758
30250,32452,32948,32846
30300,33184,32816,32796
30350,32868,32621,32772
30400,32942,32588,32697
30450,32832,32624,32956
30500,32848,32860,32770
30550,32676,32924,32743
30600,32848,32868,32936
30650,32584,32692,32668
30700,32848,32673,32721
30750,32661,32797,32840
30800,32704,32832,32728
30850,32828,32668,32660
30900,32860,32832,32720
30950,32414,32903,32719
31000,32864,32586,32669
31050,32784,32724,32852
31100,32788,32481,32684
31150,32524,32708,32673
31200,32862,32719,32972
31250,32816,32262,32893
31300,32704,33196,32756
31350,32252,32692,32974
31400,32229,32712,32860
31450,32776,32282,32929
31500,32780,32632,32644
31550,32780,31937,32889
31600,32809,32440,32876
31650,32844,32798,32688
31700,32937,33161,32934
31750,32738,32544,33092
31800,32616,35852,32748
31850,32832,32868,32872
31900,32674,33088,32844
31950,32776,32840,32878
32000,32881,32108,32768
32050,32816,32519,32881
32100,32764,31836,32878
32150,32834,32549,32901
32200,32849,32764,32672
32250,32816,32794,32892
32300,32844,33524,32975
32350,32848,32868,32696
32400,32836,34752,32849
32450,32796,32588,32772
32500,32808,32202,32932
32550,32808,32564,32900
32600,32684,32400,32820
32650,32828,32820,32830
32700,32772,32657,32692
32750,32816,32845,32687
32800,32744,32634,32978
